Celsius,Voltage (mV)
0,0
10,-2
20,-3
30,-2
40,0
50,2
60,6
70,11
80,17
90,25
100,33
110,43
120,53
130,65
140,78
150,92
160,107
170,123
180,141
190,159
200,178
210,199
220,220
230,243
240,267
250,291
260,317
270,344
280,372
290,401
300,431
310,462
320,494
330,527
340,561
350,596
360,632
370,669
380,707
390,746
400,787
410,828
420,870
430,913
440,957
450,1002
460,1048
470,1095
480,1143
490,1192
500,1242
510,1293
520,1344
530,1397
540,1451
550,1505
560,1561
570,1617
580,1675
590,1733
600,1792
610,1852
620,1913
630,1975
640,2037
