,,,,,,,,,,,
°C (t90),0,1,2,3,4,5,6,7,8,9,°C (t90)
-270,-9835,,,,,,,,,,-270
-260,-9797,-9802,-9808,-9813,-9817,-9821,-9825,-9828,-9831,-9833,-260
-250,-9718,-9728,-9737,-9746,-9754,-9762,-9770,-9777,-9784,-9790,-250
-240,-9604,-9617,-9630,-9642,-9654,-9666,-9677,-9688,-9698,-9709,-240
-230,-9455,-9471,-9487,-9503,-9519,-9534,-9548,-9563,-9577,-9591,-230
-220,-9274,-9293,-9313,-9331,-9350,-9368,-9386,-9404,-9421,-9438,-220
-210,-9063,-9085,-9107,-9129,-9151,-9172,-9193,-9214,-9234,-9254,-210
-200,-8825,-8850,-8874,-8899,-8923,-8947,-8971,-8994,-9017,-9040,-200
-190,-8561,-8588,-8616,-8643,-8669,-8696,-8722,-8748,-8774,-8799,-190
-180,-8273,-8303,-8333,-8362,-8391,-8420,-8449,-8477,-8505,-8533,-180
-170,-7963,-7995,-8027,-8059,-8090,-8121,-8152,-8183,-8213,-8243,-170
-160,-7632,-7666,-7700,-7733,-7767,-7800,-7833,-7866,-7899,-7931,-160
-150,-7279,-7315,-7351,-7387,-7423,-7458,-7493,-7528,-7563,-7597,-150
-140,-6907,-6945,-6983,-7021,-7058,-7096,-7133,-7170,-7206,-7243,-140
-130,-6516,-6556,-6596,-6636,-6675,-6714,-6753,-6792,-6831,-6869,-130
-120,-6107,-6149,-6191,-6232,-6273,-6314,-6355,-6396,-6436,-6476,-120
-110,-5681,-5724,-5767,-5810,-5853,-5896,-5939,-5981,-6023,-6065,-110
-100,-5237,-5282,-5327,-5372,-5417,-5461,-5505,-5549,-5593,-5637,-100
-90,-4777,-4824,-4871,-4917,-4963,-5009,-5055,-5101,-5147,-5192,-90
-80,-4302,-4350,-4398,-4446,-4494,-4542,-4589,-4636,-4684,-4731,-80
-70,-3811,-3861,-3911,-3960,-4009,-4058,-4107,-4156,-4205,-4254,-70
-60,-3306,-3357,-3408,-3459,-3510,-3561,-3611,-3661,-3711,-3761,-60
-50,-2787,-2840,-2892,-2944,-2996,-3048,-3100,-3152,-3204,-3255,-50
-40,-2255,-2309,-2362,-2416,-2469,-2523,-2576,-2629,-2682,-2735,-40
-30,-1709,-1765,-1820,-1874,-1929,-1984,-2038,-2093,-2147,-2201,-30
-20,-1152,-1208,-1264,-1320,-1376,-1432,-1488,-1543,-1599,-1654,-20
-10,-582,-639,-697,-754,-811,-868,-925,-982,-1039,-1095,-10
0,0,-59,-117,-176,-234,-292,-350,-408,-466,-524,0
0,0,59,118,176,235,294,354,413,472,532,0
10,591,651,711,770,830,890,950,1010,1071,1131,10
20,1192,1252,1313,1373,1434,1495,1556,1617,1678,1740,20
30,1801,1862,1924,1986,2047,2109,2171,2233,2295,2357,30
40,2420,2482,2545,2607,2670,2733,2795,2858,2921,2984,40
50,3048,3111,3174,3238,3301,3365,3429,3492,3556,3620,50
60,3685,3749,3813,3877,3942,4006,4071,4136,4200,4265,60
70,4330,4395,4460,4526,4591,4656,4722,4788,4853,4919,70
80,4985,5051,5117,5183,5249,5315,5382,5448,5514,5581,80
90,5648,5714,5781,5848,5915,5982,6049,6117,6184,6251,90
100,6319,6386,6454,6522,6590,6658,6725,6794,6862,6930,100
110,6998,7066,7135,7203,7272,7341,7409,7478,7547,7616,110
120,7685,7754,7823,7892,7962,8031,8101,8170,8240,8309,120
130,8379,8449,8519,8589,8659,8729,8799,8869,8940,9010,130
140,9081,9151,9222,9292,9363,9434,9505,9576,9647,9718,140
