,,,,,,,,,,,
°C (t90),0,1,2,3,4,5,6,7,8,9,°C (t90)
-210,-8095,,,,,,,,,,-210
-200,-7890,-7912,-7934,-7955,-7976,-7996,-8017,-8037,-8057,-8076,-200
-190,-7659,-7683,-7707,-7731,-7755,-7778,-7801,-7824,-7846,-7868,-190
-180,-7403,-7429,-7456,-7482,-7508,-7534,-7559,-7585,-7610,-7634,-180
-170,-7123,-7152,-7181,-7209,-7237,-7265,-7293,-7321,-7348,-7376,-170
-160,-6821,-6853,-6883,-6914,-6944,-6975,-7005,-7035,-7064,-7094,-160
-150,-6500,-6533,-6566,-6598,-6631,-6663,-6695,-6727,-6759,-6790,-150
-140,-6159,-6194,-6229,-6263,-6298,-6332,-6366,-6400,-6433,-6467,-140
-130,-5801,-5838,-5874,-5910,-5946,-5982,-6018,-6054,-6089,-6124,-130
-120,-5426,-5465,-5503,-5541,-5578,-5616,-5653,-5690,-5727,-5764,-120
-110,-5037,-5076,-5116,-5155,-5194,-5233,-5272,-5311,-5350,-5388,-110
-100,-4633,-4674,-4714,-4755,-4796,-4836,-4877,-4917,-4957,-4997,-100
-90,-4215,-4257,-4300,-4342,-4384,-4425,-4467,-4509,-4550,-4591,-90
-80,-3786,-3829,-3872,-3916,-3959,-4002,-4045,-4088,-4130,-4173,-80
-70,-3344,-3389,-3434,-3478,-3522,-3566,-3610,-3654,-3698,-3742,-70
-60,-2893,-2938,-2984,-3029,-3075,-3120,-3165,-3210,-3255,-3300,-60
-50,-2431,-2478,-2524,-2571,-2617,-2663,-2709,-2755,-2801,-2847,-50
-40,-1961,-2008,-2055,-2103,-2150,-2197,-2244,-2291,-2338,-2385,-40
-30,-1482,-1530,-1578,-1626,-1674,-1722,-1770,-1818,-1865,-1913,-30
-20,-995,-1044,-1093,-1142,-1190,-1239,-1288,-1336,-1385,-1433,-20
-10,-501,-550,-600,-650,-699,-749,-798,-847,-896,-946,-10
0,0,-50,-101,-151,-201,-251,-301,-351,-401,-451,0
0,0,50,101,151,202,253,303,354,405,456,0
10,507,558,609,660,711,762,814,865,916,968,10
20,1019,1071,1122,1174,1226,1277,1329,1381,1433,1485,20
30,1537,1589,1641,1693,1745,1797,1849,1902,1954,2006,30
40,2059,2111,2164,2216,2269,2322,2374,2427,2480,2532,40
50,2585,2638,2691,2744,2797,2850,2903,2956,3009,3062,50
60,3116,3169,3222,3275,3329,3382,3436,3489,3543,3596,60
70,3650,3703,3757,3810,3864,3918,3971,4025,4079,4133,70
80,4187,4240,4294,4348,4402,4456,4510,4564,4618,4672,80
90,4726,4781,4835,4889,4943,4997,5052,5106,5160,5215,90
100,5269,5323,5378,5432,5487,5541,5595,5650,5705,5759,100
110,5814,5868,5923,5977,6032,6087,6141,6196,6251,6306,110
120,6360,6415,6470,6525,6579,6634,6689,6744,6799,6854,120
130,6909,6964,7019,7074,7129,7184,7239,7294,7349,7404,130
140,7459,7514,7569,7624,7679,7734,7789,7844,7900,7955,140
150,8010,8065,8120,8175,8231,8286,8341,8396,8452,8507,150
160,8562,8618,8673,8728,8783,8839,8894,8949,9005,9060,160
170,9115,9171,9226,9282,9337,9392,9448,9503,9559,9614,170
180,9669,9725,9780,9836,9891,9947,10002,10057,10113,10168,180
190,10224,10279,10335,10390,10446,10501,10557,10612,10668,10723,190
200,10779,10834,10890,10945,11001,11056,11112,11167,11223,11278,200
210,11334,11389,11445,11501,11556,11612,11667,11723,11778,11834,210
220,11889,11945,12000,12056,12111,12167,12222,12278,12334,12389,220
230,12445,12500,12556,12611,12667,12722,12778,12833,12889,12944,230
240,13000,13056,13111,13167,13222,13278,13333,13389,13444,13500,240
