Celsius,Voltage (mV)
-270,-6458
-260,-6441
-250,-6404
-240,-6344
-230,-6262
-220,-6158
-210,-6035
-200,-5891
-190,-5730
-180,-5550
-170,-5354
-160,-5141
-150,-4913
-140,-4669
-130,-4411
-120,-4138
-110,-3852
-100,-3554
-90,-3243
-80,-2920
-70,-2587
-60,-2243
-50,-1889
-40,-1527
-30,-1156
-20,-778
-10,-392
0,0
0,0
10,397
20,798
30,1203
40,1612
50,2023
60,2436
70,2851
80,3267
90,3682
100,4096
110,4509
120,4920
130,5328
140,5735
150,6138
160,6540
170,6941
180,7340
190,7739
200,8138
210,8539
220,8940
230,9343
240,9747
250,10153
260,10561
270,10971
280,11382
290,11795
