Celsius,Voltage (mV)
-270,-4345
-260,-4336
-250,-4313
-240,-4277
-230,-4226
-220,-4162
-210,-4083
-200,-3990
-190,-3884
-180,-3766
-170,-3634
-160,-3491
-150,-3336
-140,-3171
-130,-2994
-120,-2808
-110,-2612
-100,-2407
-90,-2193
-80,-1972
-70,-1744
-60,-1509
-50,-1269
-40,-1023
-30,-772
-20,-518
-10,-260
0,0
0,0
10,261
20,525
30,793
40,1065
50,1340
60,1619
70,1902
80,2189
90,2480
100,2774
110,3072
120,3374
130,3680
140,3989
150,4302
160,4618
170,4937
180,5259
190,5585
200,5913
210,6245
220,6579
230,6916
240,7255
