Celsius,Voltage (mV)
-50,-226
-40,-188
-30,-145
-20,-100
-10,-51
0,0
0,0
10,54
20,111
30,171
40,232
50,296
60,363
70,431
80,501
90,573
100,647
110,723
120,800
130,879
140,959
150,1041
160,1124
170,1208
180,1294
190,1381
200,1469
210,1558
220,1648
230,1739
240,1831
250,1923
260,2017
270,2112
280,2207
290,2304
300,2401
310,2498
320,2597
330,2696
340,2796
350,2896
360,2997
370,3099
380,3201
390,3304
400,3408
410,3512
420,3616
430,3721
440,3827
450,3933
460,4040
470,4147
480,4255
490,4363
500,4471
510,4580
520,4690
530,4800
540,4910
