Celsius,Voltage (mV)
-50,-236
-40,-194
-30,-150
-20,-103
-10,-53
0,0
0,0
10,55
20,113
30,173
40,235
50,299
60,365
70,433
80,502
90,573
100,646
110,720
120,795
130,872
140,950
150,1029
160,1110
170,1191
180,1273
190,1357
200,1441
210,1526
220,1612
230,1698
240,1786
250,1874
260,1962
270,2052
280,2141
290,2232
300,2323
310,2415
320,2507
330,2599
340,2692
350,2786
360,2880
370,2974
380,3069
390,3164
400,3259
410,3355
420,3451
430,3548
440,3645
450,3742
460,3840
470,3938
480,4036
490,4134
500,4233
510,4332
520,4432
530,4532
540,4632
