,,,,,,,,,,,
°C (t90),0,1,2,3,4,5,6,7,8,9,°C (t90)
-270,-6258,,,,,,,,,,-270
-260,-6232,-6236,-6239,-6242,-6245,-6248,-6251,-6253,-6255,-6256,-260
-250,-6180,-6187,-6193,-6198,-6204,-6209,-6214,-6219,-6223,-6228,-250
-240,-6105,-6114,-6122,-6130,-6138,-6146,-6153,-6160,-6167,-6174,-240
-230,-6007,-6017,-6028,-6038,-6049,-6059,-6068,-6078,-6087,-6096,-230
-220,-5888,-5901,-5914,-5926,-5938,-5950,-5962,-5973,-5985,-5996,-220
-210,-5753,-5767,-5782,-5795,-5809,-5823,-5836,-5850,-5863,-5876,-210
-200,-5603,-5619,-5634,-5650,-5665,-5680,-5695,-5710,-5724,-5739,-200
-190,-5439,-5456,-5473,-5489,-5506,-5523,-5539,-5555,-5571,-5587,-190
-180,-5261,-5279,-5297,-5316,-5334,-5351,-5369,-5387,-5404,-5421,-180
-170,-5070,-5089,-5109,-5128,-5148,-5167,-5186,-5205,-5224,-5242,-170
-160,-4865,-4886,-4907,-4928,-4949,-4969,-4989,-5010,-5030,-5050,-160
-150,-4648,-4671,-4693,-4715,-4737,-4759,-4780,-4802,-4823,-4844,-150
-140,-4419,-4443,-4466,-4489,-4512,-4535,-4558,-4581,-4604,-4626,-140
-130,-4177,-4202,-4226,-4251,-4275,-4300,-4324,-4348,-4372,-4395,-130
-120,-3923,-3949,-3975,-4000,-4026,-4052,-4077,-4102,-4127,-4152,-120
-110,-3657,-3684,-3711,-3738,-3765,-3791,-3818,-3844,-3871,-3897,-110
-100,-3379,-3407,-3435,-3463,-3491,-3519,-3547,-3574,-3602,-3629,-100
-90,-3089,-3118,-3148,-3177,-3206,-3235,-3264,-3293,-3322,-3350,-90
-80,-2788,-2818,-2849,-2879,-2910,-2940,-2970,-3000,-3030,-3059,-80
-70,-2476,-2507,-2539,-2571,-2602,-2633,-2664,-2695,-2726,-2757,-70
-60,-2153,-2186,-2218,-2251,-2283,-2316,-2348,-2380,-2412,-2444,-60
-50,-1819,-1853,-1887,-1920,-1954,-1987,-2021,-2054,-2087,-2120,-50
-40,-1475,-1510,-1545,-1579,-1614,-1648,-1683,-1717,-1751,-1785,-40
-30,-1121,-1157,-1192,-1228,-1264,-1299,-1335,-1370,-1405,-1440,-30
-20,-757,-794,-830,-867,-904,-940,-976,-1013,-1049,-1085,-20
-10,-383,-421,-459,-496,-534,-571,-608,-646,-683,-720,-10
0,0,-39,-77,-116,-154,-193,-231,-269,-307,-345,0
0,0,39,78,117,156,195,234,273,312,352,0
10,391,431,470,510,549,589,629,669,709,749,10
20,790,830,870,911,951,992,1033,1074,1114,1155,20
30,1196,1238,1279,1320,1362,1403,1445,1486,1528,1570,30
40,1612,1654,1696,1738,1780,1823,1865,1908,1950,199,40
